time,Y,Ybar,Ybar_lo,Ybar_hi
1,3115,3370.27580596368,3231.99373424163,3606.5291826955
2,3346,3579.20314607056,3381.88544543224,3899.50542043265
3,3516,3752.37642783688,3550.87657879286,3958.64702707034
4,3677,3936.89211874251,3778.55569513151,4107.8525169613
5,4201,4144.69172401401,4013.34318738186,4333.72860013834
6,4380,4387.80904207573,4240.87275140724,4575.86567460744
7,5125,4666.34004001761,4359.6908692617,4984.73105392192
8,2754,4956.62363889247,4442.90915962486,5580.12786922026
9,NA,5236.67936346593,4452.75977741448,6265.49895779432
10,NA,5503.32020498983,4392.6217005118,7167.31012885611
