time,Y,Ybar,Ybar_lo,Ybar_hi
1,2092,2332.53088578958,2238.20599514904,2473.76283386806
2,2681,2519.7146367896,2400.84161386987,2670.54048655599
3,2052,2700.1442258895,2559.87676089022,2910.32363643433
4,2628,2871.88374374849,2719.71937806634,3093.10202748628
5,3522,3035.47296192332,2872.24758597973,3256.04499416598
6,3366,3193.45973388805,2986.99403235991,3471.61039650528
7,3072,3349.82051626552,3013.48839604729,3728.90502278807
8,2786,3509.53592790261,2951.64427659503,4089.9956341551
9,NA,3678.39769251745,2857.97442177349,4525.22563281256
10,NA,3863.06186466985,2741.87300467058,5045.87990271606
