time,Y,Ybar,Ybar_lo,Ybar_hi
1,1260,1237.79943393187,1133.27228746025,1350.03357285954
2,799,923.884852486937,796.107251014189,1068.82820217289
3,532,748.270159681504,640.712137584436,912.844179551009
4,637,649.146641638031,564.62445519284,790.00877926978
5,658,598.327889041777,522.785134194815,692.838761742663
6,616,583.834434214903,508.585667803961,668.121168098931
7,784,603.849218423961,499.597753558741,788.563376759251
8,525,666.742336477632,485.723121919799,1055.54684233845
9,NA,797.655679038271,455.517019824961,1593.84701576251
10,NA,1058.57045546577,422.78585828884,2749.23211880017
