time,Y,Ybar,Ybar_lo,Ybar_hi
1,2137,2401.47166672381,2272.40547468002,2490.17998857396
2,1731,2346.20941086307,2095.30333084019,2489.77317702632
3,2497,2350.29617924742,2028.16305468665,2535.7513121053
4,2553,2405.78969718191,2094.78894360464,2595.54581072297
5,2711,2511.6648122969,2283.49053747626,2664.97519676113
6,2610,2672.37330812343,2558.04100933237,2753.22578985965
7,2836,2897.58093776557,2790.19740272462,3101.20873535879
8,2539,3203.04011043678,2899.69915213926,3777.4979645449
9,NA,3612.69203595844,2984.50540196974,4753.37836224185
10,NA,4162.34637772289,3072.45231419443,6124.87993032083
