time,Y,Ybar,Ybar_lo,Ybar_hi
1,7845,7206.6606536519,7049.40471427239,7461.57043380711
2,9144,7101.82866750351,6754.79325262274,7720.29573880762
3,11086,6945.43485173711,6523.92450182363,7726.31640479223
4,6033,6740.76107123798,6354.82688728943,7436.32049343923
5,5375,6501.19029062672,6210.69235120706,6928.88364035021
6,5793,6244.7965203327,5912.56627269266,6570.34021002056
7,6790,5989.29417826519,5245.95551138122,6551.04002605676
8,8740,5749.01934077936,4524.30715300743,6696.79301287096
9,NA,5534.14407578445,3870.21527810531,6929.58335031744
10,NA,5351.42779698539,3301.47335209408,7260.33187495711
