time,Y,Ybar,Ybar_lo,Ybar_hi
1,539,490.594677446583,435.206030203527,564.106879346561
2,612,579.319843688693,472.477352450416,703.767813393093
3,926,678.862904481315,582.00134200583,828.021743396706
4,883,783.318886846033,709.510823562963,896.680906179516
5,876,888.442124216628,811.432016629136,963.3984523853
6,929,995.661236742448,815.917240606175,1125.32742682643
7,1187,1115.75933303472,759.190627924242,1459.75583039663
8,793,1273.66130505222,691.793387829103,2046.18786400815
9,NA,1518.77814103499,620.839010014814,3087.20075779708
10,NA,1956.34570178339,507.702865618254,5109.73993235092
