time,Y,Ybar,Ybar_lo,Ybar_hi
1,37097,38338.9957376741,37553.1544335693,40004.0206200747
2,42611,40503.5953809543,39086.7740490043,43150.0812624326
3,44414,42416.6174042956,40747.9506694332,44745.9874659485
4,40426,44340.0363071116,42694.4624938778,46170.0212105146
5,44877,46323.1042391596,44960.2128030563,47534.4110003646
6,48388,48381.5674721303,47511.2410604936,49089.3388460131
7,50701,50528.1353774862,49666.1846449961,51420.071577982
8,39195,52777.3695999547,51010.2137853152,54659.3512748613
9,NA,55146.6449721056,52199.9634437724,58532.9800434915
10,NA,57656.6063539275,53336.662855584,63192.5089446883
