time,Y,Ybar,Ybar_lo,Ybar_hi
1,1072,1571.94220208444,1486.9785600799,1784.10144252657
2,1619,1695.39808531887,1580.22893957097,1926.29817605678
3,2771,1784.13741085916,1666.32966812017,1966.10749155789
4,1802,1864.78591751417,1747.70794761409,2072.13689203997
5,2862,1941.36191973319,1805.22211678839,2108.84107757679
6,1488,2013.65172259997,1917.40819332026,2156.53229636063
7,2274,2083.43366563274,1887.64680097408,2314.46614795736
8,2753,2155.81868394572,1702.45449670953,2619.0864825771
9,NA,2238.87832444107,1450.94198900299,3044.3315866236
10,NA,2343.03058465877,1184.08537613812,3600.59061347544
