time,Y,Ybar,Ybar_lo,Ybar_hi
1,1251,1956.95971280779,1887.19176166052,2074.48567667806
2,1941,2156.20774777718,2010.79144608786,2305.88159444898
3,2877,2342.57323402515,2161.00782699251,2518.24788145835
4,1899,2518.47693954493,2343.36041432654,2733.66727061053
5,3437,2682.22726263763,2538.03839185479,2910.05657479763
6,2680,2832.98924551877,2655.57537703604,3029.54427135244
7,2651,2972.44400972606,2684.85256485937,3313.52737930822
8,2095,3104.77315528629,2685.28431883074,3740.70660862536
9,NA,3236.08620407615,2610.50205115066,4258.25860955928
10,NA,3374.03198682845,2457.87290610619,4884.03718095341
