time,Y,Ybar,Ybar_lo,Ybar_hi
1,1294,1047.2365397491,922.166964448143,1139.67485023554
2,1438,872.902907435512,705.822829944334,1000.77523446781
3,524,761.62595461489,608.733245047513,893.277309593549
4,558,691.963957018649,582.916858919109,808.785362340888
5,762,654.481466758954,574.582581478248,735.686640371179
6,678,646.588645069618,581.817571620019,716.19905755687
7,738,671.214317564914,553.728271219611,853.181016061689
8,841,737.83823856562,499.066094412408,1086.41342361994
9,NA,866.277084676002,445.953204837276,1458.20524418955
10,NA,1095.53448841489,398.594787105105,2199.27534737227
