time,Y,Ybar,Ybar_lo,Ybar_hi
1,25466,27011.3127507976,26549.9017065956,27336.9600243852
2,25865,28070.2001262351,27322.0578562301,28477.753998914
3,29268,29213.9423524468,28290.5804281223,29687.7282070465
4,30542,30464.839451378,29626.2630317463,31015.246595428
5,32065,31843.9220965438,31248.3585353599,32424.0149795413
6,35157,33366.7631581382,32785.7593482151,34013.5606371208
7,37010,35046.5301417727,34098.9658054838,36311.0707445465
8,28340,36897.4443397794,35463.0714972155,39274.2924153738
9,NA,38936.9540360052,36722.630553825,42672.5036378239
10,NA,41187.2157264502,37926.4570793918,46568.5496029774
