time,Y,Ybar,Ybar_lo,Ybar_hi
1,8671,8095.96015054033,7874.84789129577,8413.51946476738
2,7730,8719.08923966348,8475.87904182317,8958.85368937343
3,8812,9383.9293546724,9109.63683583411,9706.38059739672
4,11118,10094.8066450762,9834.79273323783,10452.156850563
5,11255,10858.1366162288,10607.3252311267,11147.8379978264
6,13339,11683.029998291,11322.3182008694,11964.968303268
7,11581,12582.0610357694,12030.5034494022,13224.0780091414
8,11030,13572.1909617187,12654.7567818088,14804.2849865593
9,NA,14675.8950289883,13188.4415672721,16761.4577177692
10,NA,15922.5764468718,13524.5012482406,19199.8216063084
