id,time,Y,Ybar,Ybar_lo,Ybar_hi
090402000BBRRA0,0,113960,86427.4165390536,80799.7165360019,92594.7956868768
090402000BBRRA0,1,46420,78932.8212968356,74507.5767411763,83463.3775140048
090402000BBRRA0,2,38500,72504.3918123685,66954.747679071,77509.5928531258
090402000BBRRA0,3,25520,66969.8631304234,60198.1776846255,73261.914595288
090402000BBRRA0,4,42460,62188.6054554016,54542.6985120917,69882.6146828359
090402000BBRRA0,5,60060,58045.3788568111,49811.5620591213,66776.7400214984
090402000BBRRA0,6,19360,54445.3943777073,45841.3893044881,63917.9678485926
090402000BBRRA0,7,36080,51310.3968149457,42501.3834289473,61283.080878222
090402000BBRRA0,8,38720,48575.5485513592,39686.4220810582,58851.5544276065
090402000BBRRA0,9,19800,46186.9431035673,37311.6929739217,56605.2037329888
090402000BBRRA0,10,25960,44099.6150223672,35308.5156227452,54527.8821205446
090402000BBRRA0,11,50600,42275.9421053762,33621.0769156202,52605.2222132102
090402000BBRRA0,12,44440,40684.3585718301,32203.8725403133,50868.0088820644
090402000BBRRA0,13,25960,39298.3154431817,31019.6951158824,49310.3317642966
090402000BBRRA0,14,21000,38095.4380427129,30038.0469901203,47859.2617294432
090402000BBRRA0,15,48960,37056.841169772,29233.8839151228,46507.5767855461
090402000BBRRA0,16,22000,36166.5708072546,28586.6173542696,45248.6762868974
090402000BBRRA0,17,41400,35411.1477128958,28079.3196276971,44076.5229911637
090402000BBRRA0,18,25800,34779.19333236,27698.0886958518,42985.591089454
090402000BBRRA0,19,23200,34261.1224683086,27431.5390386464,41970.8195530052
090402000BBRRA0,20,45000,33848.8902863991,27270.3925120122,41027.5702162588
090402000BBRRA0,21,46200,33535.7837234652,27207.1487849397,40151.5900830076
090402000BBRRA0,22,17000,33316.2493296736,27235.819380531,39392.3562184786
090402000BBRRA0,23,17600,33185.7511375118,27351.712769301,38698.7791077367
090402000BBRRA0,24,17200,33140.6533932565,27551.2606237763,38267.732118202
090402000BBRRA0,25,58800,33178.1239789941,27831.8774168382,37948.0972099649
090402000BBRRA0,26,103000,33296.0551482913,28191.8471667852,37685.3368326745
090402000BBRRA0,27,34000,33492.9988376295,28630.2324025778,37476.5692277694
090402000BBRRA0,28,98400,33768.1143311752,29146.8014219293,37319.2293616941
090402000BBRRA0,29,55800,34121.1264738152,29741.9707032594,37542.8020405866
090402000BBRRA0,30,12000,34552.2929667108,30416.759956568,38099.5153905908
090402000BBRRA0,31,60800,35062.3795567306,31172.7577938953,38807.57795102
090402000BBRRA0,32,11600,35652.642158558,31455.9572307308,39907.7298369053
090402000BBRRA0,33,38000,36324.8151359579,31417.9806194958,41438.1639944206
090402000BBRRA0,34,34800,37081.1051245799,31423.5088083073,43124.4178838271
090402000BBRRA0,35,41600,37924.1899090759,31472.155683663,44975.5389067148
090402000BBRRA0,36,34000,38857.2219773197,31563.7146027159,47001.6492994892
090402000BBRRA0,37,14000,39883.8364682155,31698.1503029731,49214.003392322
090402000BBRRA0,38,74400,41008.1633102893,31875.5924583839,51625.0546015349
090402000BBRRA0,39,45200,42234.8434186684,32096.3306981588,54248.532420596
090402000BBRRA0,40,64400,43569.048880383,32159.4436194954,57099.5297976733
090402000BBRRA0,41,23200,45016.5071139856,32146.1881054267,60194.6014069085
090402000BBRRA0,42,46400,46583.5290408179,32164.0481398115,63551.873438569
090402000BBRRA0,43,47800,48277.0413531163,32212.6289284059,67191.1656520979
090402000BBRRA0,44,52400,50104.6230096541,32291.6141445221,71134.1265577451
090402000BBRRA0,45,57800,52074.5461336952,32400.7621970519,75404.3827187004
090402000BBRRA0,46,16800,54195.8215315275,32539.9029026115,80027.7032982199
090402000BBRRA0,47,46800,56478.2490934922,32708.9345247579,85032.1811168054
090402000BBRRA0,48,39600,58932.4733839163,32907.821147411,90448.4316347701
090402000BBRRA0,49,54400,61570.0447723292,33124.5260932607,96309.8114372305
090402000BBRRA0,50,46400,64403.4865064121,33313.1086471041,102652.657973486
090402000BBRRA0,51,NA,67446.3681778924,33526.3901504367,109519.964020492
090402000BBRRA0,52,NA,70713.3860866527,33764.2801905749,117052.939714828
090402000BBRRA0,53,NA,74220.4510662779,34026.7312389315,125218.189852724
090402000BBRRA0,54,NA,77984.7843967557,34313.7372185823,134070.012887941
090402000BBRRA0,55,NA,82025.0224977133,34625.3322307643,143667.692594587
090402000BBRRA0,56,NA,86361.3311691364,34961.5894294073,154075.964319751
090402000BBRRA0,57,NA,91015.5302266971,35322.620033859,165365.527082999
090402000BBRRA0,58,NA,96011.2294664422,35708.5724709321,177613.606079575
090402000BBRRA0,59,NA,101373.976989509,36119.6316382746,190904.570617976
090402000BBRRA0,60,NA,107131.421022709,36556.0182818612,205330.613045481
